SSD,6.761,6.223,5.376,4.775,4.696
SSF,6.347730005,5.755293112,5.257986594,4.765199664,4.693243438
SST,4.007698392,3.374665614,3.042584514,2.896971389,2.87400251
STP,5.828,5.176,4.727,4.374,4.321
SUR,3.267,2.895,2.61,2.443,2.418
SVK,2.09,1.3,1.43,1.52,1.54
SVN,1.46,1.26,1.57,1.62,1.6
SWE,2.13,1.54,1.98,1.78,1.76
SWZ,5.106,3.915,3.342,3.018,2.99
SXM,,,,,
SYC,,2.08,2.16,2.41,2.41
SYR,5.309,4.076,3.404,2.847,2.808
TCA,,,,,
TCD,7.313,7.354,6.592,5.846,5.747
TEA,2.591306322,1.895273422,1.868168753,1.876086443,1.876194842
TEC,2.308292151,1.615858819,1.813658488,1.858112059,1.842998582
TGO,6.185,5.419,4.868,4.384,4.32
THA,2.113,1.671,1.542,1.532,1.525
TJK,5.225,3.967,3.599,3.606,3.585
TKM,4.344,2.824,2.833,2.836,2.786
TLA,3.310471529,2.655332971,2.199936942,2.057453581,2.038492594
TLS,5.478,6.113,4.805,4.093,4.023
TMN,4.858933873,3.133569292,2.903014667,2.906745122,2.878447265
TON,4.644,4.25,3.913,3.595,3.556
TSA,4.29989729,3.507214774,2.745884201,2.410617478,2.384749671
TSS,6.347730005,5.755293112,5.257986594,4.765199664,4.693243438
TTO,2.453,1.753,1.806,1.739,1.725
TUN,3.476,2.142,2.14,2.219,2.197
TUR,3.107,2.503,2.151,2.081,2.069
TUV,,,,,
TZA,6.213,5.689,5.427,4.953,4.892
UGA,7.091,6.866,6.111,5.095,4.955
UKR,1.844,1.11,1.443,1.374,1.301
UMC,2.648603012,1.943725369,1.891963176,1.901411813,1.897418878
URY,2.52,2.237,2.011,1.983,1.973
USA,2.081,2.056,1.931,1.7655,1.7295
UZB,4.072,2.58,2.342,2.419,2.419
VCT,2.956,2.379,2.07,1.911,1.891
VEN,3.448,2.822,2.471,2.294,2.272
VGB,,,,,
VIR,2.954,2.06,2.3,2.08,2.06
VNM,3.553,2.01,1.938,2.042,2.049
VUT,4.926,4.492,4.1,3.82,3.782
WLD,3.248472332,2.696002898,2.516362717,2.428138365,2.414974733
WSM,5.118,4.503,4.338,3.926,3.877
XKX,3.9,2.95,2.29,2.02,2
YEM,8.606,6.313,4.674,3.89,3.792
ZAF,3.964,2.694,2.598,2.43,2.405
ZMB,6.442,6.036,5.415,4.718,4.633
ZWE,4.862,3.748,4.034,3.707,3.615
